,tactile_static_data.max,tactile_dynamic_data.absmax,robotiq_force_sensor.wrench.force.norm,robotiq_force_sensor.wrench.torque.norm,baxter_enpoint_pose.twist.linear.norm,baxter_enpoint_pose.twist.angular.norm
1524645662.02,10239.0,327.0,1.03693071125,0.0650307606956,0.00747715219902,0.0125033971089
1524645662.12,10260.0,555.0,1.50953139503,0.0548543516837,0.00981373812218,0.0199895178417
1524645662.22,10276.0,295.0,2.45143357487,0.0569561222363,0.0279630961365,0.0437729777819
1524645662.32,10869.0,289.0,2.14735815071,0.161124179155,0.0107554533452,0.017491624665
1524645662.42,11227.0,214.0,2.85368992092,0.121597695404,0.00586384422547,0.043285499862
1524645662.52,11350.0,1511.0,2.37418338707,0.125135927719,0.0108635302238,0.0219798706047
1524645662.62,11387.0,570.0,1.42600357042,0.109745162196,0.0202960571063,0.0195244156264
1524645662.72,11356.0,29.0,2.68003828879,0.0927415777602,0.00807865077027,0.012940620157
1524645662.82,11303.0,353.0,5.04312786005,0.0220227158779,0.00940241863239,0.0240908503705
1524645662.92,11255.0,196.0,4.46440708342,0.0423556371635,0.0172994284497,0.049191648733
1524645663.02,11208.0,97.0,5.91057435683,0.0729246186711,0.0336894923038,0.0463255544897
1524645663.12,11223.0,591.0,3.53644541948,0.103768974233,0.0170027959208,0.017662766574
1524645663.22,11121.0,343.0,5.8554407194,0.111036031832,0.0120361030113,0.0204767022394
1524645663.32,11071.0,207.0,4.89758602161,0.145072399046,0.0216083313065,0.0321319247753
1524645663.42,11096.0,133.0,5.28660457993,0.0719305207726,0.010929710777,0.0228110854543
1524645663.52,11116.0,87.0,3.54634539746,0.120581920452,0.0342785179063,0.0514440560282
1524645663.62,11126.0,108.0,4.72001100269,0.106061305836,0.0545687094533,0.267765865977
1524645663.72,11133.0,209.0,5.53420336662,0.22338755917,0.0576196582774,0.0670569690447
1524645663.82,11070.0,1584.0,6.76914092248,0.00900000042748,0.0877783298558,0.0738463684458
1524645663.92,10678.0,4340.0,4.85699281552,0.0707742907168,0.159745592543,0.2220968203
1524645664.02,10128.0,967.0,4.10816138351,0.0260384328939,0.157863219743,0.125164705742
1524645664.12,10078.0,251.0,1.38479083887,0.0728285654853,0.112296237228,0.154410278952
1524645664.22,10065.0,379.0,1.57630763379,0.0651843531769,0.0590890695022,0.102319854983
1524645664.32,10051.0,371.0,2.67984866775,0.0609918022121,0.0145345020329,0.0245745578078
1524645664.42,10046.0,268.0,1.22164078148,0.0579482539813,0.0261210729747,0.0424543616534
1524645664.52,10032.0,194.0,1.67378853124,0.0528488413895,0.020495147348,0.0277158085614
1524645664.62,10037.0,172.0,2.72243031333,0.0590338899666,0.0251724396899,0.046341893348
1524645664.72,10024.0,387.0,2.55759795876,0.0502294721573,0.00971057826239,0.0237159224554
1524645664.82,10028.0,47.0,1.59286725522,0.0632771666756,0.00683322288331,0.0163791545364
1524645664.92,10032.0,352.0,2.41464393577,0.0473919808559,0.0116252752418,0.0265855340297
1524645665.02,10025.0,464.0,2.59796135632,0.0479374577307,0.0170439732796,0.037372557589
1524645665.12,10020.0,218.0,2.83137553982,0.0546534525752,0.0160979984209,0.0168860220769
1524645665.22,10020.0,213.0,3.12535793357,0.0448218694975,0.0240344637289,0.0454081965212
1524645665.32,10031.0,155.0,3.07266453075,0.0396736693902,0.0239067818181,0.0415652606286
1524645665.42,10035.0,114.0,3.22382432259,0.0452216777407,0.0099495701061,0.0272305610369
1524645665.52,10034.0,146.0,3.1889691147,0.0410000011325,0.0316528359676,0.0411431110201
1524645665.62,10043.0,180.0,3.84412589063,0.0473075030834,0.0398317931151,0.0670914367822
1524645665.72,10028.0,202.0,2.90280657334,0.0517010641331,0.0100689635382,0.0405934346109
1524645665.82,10036.0,247.0,2.16750715658,0.0604069548105,0.00840041254342,0.0318799298994
1524645665.92,10034.0,261.0,2.92348529047,0.0553353401999,0.0117092114328,0.0186561873989
1524645666.02,10041.0,387.0,3.64173968588,0.0503388506102,0.0136367440647,0.0173448160753
1524645666.12,10062.0,188.0,2.91108293269,0.0494873725576,0.015120348481,0.0196164144918
1524645666.22,10051.0,239.0,2.77840367193,0.0498898802277,0.0106684427362,0.0162224468495
1524645666.32,10053.0,237.0,2.95473940305,0.0477702821319,0.0271818956502,0.0527796574127
1524645666.42,10073.0,465.0,2.21334291373,0.0552177511001,0.00871368630949,0.0148458612434
1524645666.52,10078.0,295.0,3.64953004105,0.0471805028623,0.00492820305233,0.0143822334781
1524645666.62,10051.0,178.0,3.75806907795,0.0395600796994,0.0113250043577,0.0277888389673
1524645666.72,10065.0,175.0,3.03182572372,0.0405092572054,0.0150301289666,0.0336631526111
1524645666.82,10047.0,282.0,3.49301370539,0.0367287357862,0.0354311593436,0.0651435785989
1524645666.92,10047.0,343.0,4.11284882276,0.046711882269,0.0152196476517,0.0207873570463
1524645667.02,10052.0,361.0,4.31187044535,0.0702424380033,0.0151271776821,0.0212344187446
1524645667.12,10052.0,531.0,2.11884570253,0.0686221567179,0.0150404094155,0.0166319471804
1524645667.22,10044.0,82.0,2.79261299737,0.0445982052409,0.0135299651037,0.0221739431688
